split,path,stem,video_id,seq_stem,y,w_start,w_end,fps,overlap_frames,overlap_frac,valid_frac,avg_conf,valid_conf_mean,frame_valid_min,frame_valid_p10,low_frame_frac_25,low_frame_frac_50,zero_valid_frames,motion_mag_mean,motion_mag_p95,low_quality
train,train\Subject.10__Fall_backwards__ba208b73__w000000_000047.npz,Subject.10__Fall_backwards__ba208b73__w000000_000047,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,0,0,47,23.0,0,0.0,0.8301767706871033,0.723545253276825,0.8645888566970825,0.7878787878787878,0.7878787878787878,0.0,0.0,0,0.027316678315401077,0.07292621843516826,False
train,train\Subject.10__Fall_backwards__ba208b73__w000012_000059.npz,Subject.10__Fall_backwards__ba208b73__w000012_000059,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,0,12,59,23.0,0,0.0,0.8377525210380554,0.7442002892494202,0.8791512846946716,0.7272727272727273,0.8181818181818182,0.0,0.0,0,0.037415023893117905,0.10599403716623783,False
train,train\Subject.10__Fall_backwards__ba208b73__w000024_000071.npz,Subject.10__Fall_backwards__ba208b73__w000024_000071,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,0,24,71,23.0,0,0.0,0.8125,0.7369487881660461,0.8961516618728638,0.6666666666666666,0.7181818181818183,0.0,0.0,0,0.04597683995962143,0.11208355985581861,False
train,train\Subject.10__Fall_backwards__ba208b73__w000036_000083.npz,Subject.10__Fall_backwards__ba208b73__w000036_000083,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,36,83,23.0,6,0.125,0.814393937587738,0.7345460653305054,0.8896527886390686,0.6666666666666666,0.696969696969697,0.0,0.0,0,0.058840636163949966,0.13367478996515272,False
train,train\Subject.10__Fall_backwards__ba208b73__w000048_000095.npz,Subject.10__Fall_backwards__ba208b73__w000048_000095,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,48,95,23.0,18,0.375,0.8510100841522217,0.7670132517814636,0.8906789422035217,0.6666666666666666,0.696969696969697,0.0,0.0,0,0.060593001544475555,0.13062178716063494,False
train,train\Subject.10__Fall_backwards__ba208b73__w000060_000107.npz,Subject.10__Fall_backwards__ba208b73__w000060_000107,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,60,107,23.0,30,0.625,0.8920454382896423,0.7938311696052551,0.8837181329727173,0.6666666666666666,0.696969696969697,0.0,0.0,0,0.05049014836549759,0.12019648142158985,False
train,train\Subject.10__Fall_backwards__ba208b73__w000072_000119.npz,Subject.10__Fall_backwards__ba208b73__w000072_000119,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,72,119,23.0,42,0.875,0.9621211886405945,0.8455640077590942,0.8757953643798828,0.6666666666666666,0.8181818181818182,0.0,0.0,0,0.04228883981704712,0.11765209957957268,False
train,train\Subject.10__Fall_backwards__ba208b73__w000084_000131.npz,Subject.10__Fall_backwards__ba208b73__w000084_000131,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,84,131,23.0,48,1.0,0.9987373948097229,0.8774586915969849,0.8783831596374512,0.9696969696969697,1.0,0.0,0.0,0,0.03014311194419861,0.09702284932136532,False
train,train\Subject.10__Fall_backwards__ba208b73__w000096_000143.npz,Subject.10__Fall_backwards__ba208b73__w000096_000143,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,96,143,23.0,48,1.0,0.9898989796638489,0.857472836971283,0.8652297258377075,0.9393939393939394,0.9393939393939394,0.0,0.0,0,0.028428716585040092,0.08252059556543824,False
train,train\Subject.10__Fall_backwards__ba208b73__w000108_000155.npz,Subject.10__Fall_backwards__ba208b73__w000108_000155,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,108,155,23.0,48,1.0,0.940025269985199,0.7983905673027039,0.8436092138290405,0.7272727272727273,0.7484848484848485,0.0,0.0,0,0.047653935849666595,0.12105909287929531,False
