split,path,stem,video_id,seq_stem,y,w_start,w_end,fps,overlap_frames,overlap_frac,valid_frac,avg_conf,valid_conf_mean,frame_valid_min,frame_valid_p10,low_frame_frac_25,low_frame_frac_50,zero_valid_frames,motion_mag_mean,motion_mag_p95,low_quality
train,train\Subject.10__Fall_backwards__ba208b73__w000000_000047.npz,Subject.10__Fall_backwards__ba208b73__w000000_000047,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,0,0,47,23.0,0,0.0,0.7140151262283325,0.6081351637840271,0.8339846134185791,0.0,0.696969696969697,0.0625,0.0625,3,0.05009451135993004,0.08286736793816088,True
train,train\Subject.10__Fall_backwards__ba208b73__w000012_000059.npz,Subject.10__Fall_backwards__ba208b73__w000012_000059,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,0,12,59,23.0,0,0.0,0.8049242496490479,0.6759493350982666,0.8273333311080933,0.696969696969697,0.696969696969697,0.0,0.0,0,0.03582224249839783,0.11833403855562204,False
train,train\Subject.10__Fall_backwards__ba208b73__w000024_000071.npz,Subject.10__Fall_backwards__ba208b73__w000024_000071,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,0,24,71,23.0,0,0.0,0.8459596037864685,0.7038310766220093,0.8215454816818237,0.696969696969697,0.7181818181818183,0.0,0.0,0,0.04613407328724861,0.1313080646097659,False
train,train\Subject.10__Fall_backwards__ba208b73__w000036_000083.npz,Subject.10__Fall_backwards__ba208b73__w000036_000083,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,36,83,23.0,6,0.125,0.8699495196342468,0.7303558588027954,0.8264362215995789,0.7272727272727273,0.8484848484848485,0.0,0.0,0,0.06301883608102798,0.14852619916200627,False
train,train\Subject.10__Fall_backwards__ba208b73__w000048_000095.npz,Subject.10__Fall_backwards__ba208b73__w000048_000095,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,48,95,23.0,18,0.375,0.9040403962135315,0.7615511417388916,0.8299729228019714,0.7272727272727273,0.8484848484848485,0.0,0.0,0,0.06688296049833298,0.15053004771471004,False
train,train\Subject.10__Fall_backwards__ba208b73__w000060_000107.npz,Subject.10__Fall_backwards__ba208b73__w000060_000107,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,60,107,23.0,30,0.625,0.9267676472663879,0.8095677495002747,0.863030731678009,0.7272727272727273,0.8484848484848485,0.0,0.0,0,0.05464224889874458,0.12266121990978714,False
train,train\Subject.10__Fall_backwards__ba208b73__w000072_000119.npz,Subject.10__Fall_backwards__ba208b73__w000072_000119,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,72,119,23.0,42,0.875,0.9589646458625793,0.8621182441711426,0.8927097320556641,0.7272727272727273,0.8484848484848485,0.0,0.0,0,0.045455269515514374,0.1165905676782131,False
train,train\Subject.10__Fall_backwards__ba208b73__w000084_000131.npz,Subject.10__Fall_backwards__ba208b73__w000084_000131,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,84,131,23.0,48,1.0,0.9962121248245239,0.913337767124176,0.9163452982902527,0.9696969696969697,0.9696969696969697,0.0,0.0,0,0.030029281973838806,0.10110225975513451,False
train,train\Subject.10__Fall_backwards__ba208b73__w000096_000143.npz,Subject.10__Fall_backwards__ba208b73__w000096_000143,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,96,143,23.0,48,1.0,1.0,0.930762529373169,0.930762529373169,1.0,1.0,0.0,0.0,0,0.024970417842268944,0.08443091660737984,False
train,train\Subject.10__Fall_backwards__ba208b73__w000108_000155.npz,Subject.10__Fall_backwards__ba208b73__w000108_000155,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,108,155,23.0,48,1.0,0.995580792427063,0.9145837426185608,0.9179723262786865,0.9696969696969697,0.9696969696969697,0.0,0.0,0,0.024480964988470078,0.07688863426446914,False
train,train\Subject.10__Fall_backwards__ba208b73__w000120_000167.npz,Subject.10__Fall_backwards__ba208b73__w000120_000167,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,120,167,23.0,48,1.0,0.9880050420761108,0.8788049221038818,0.8882503509521484,0.9696969696969697,0.9696969696969697,0.0,0.0,0,0.025471968576312065,0.08188144825398912,False
train,train\Subject.10__Fall_backwards__ba208b73__w000132_000179.npz,Subject.10__Fall_backwards__ba208b73__w000132_000179,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,132,179,23.0,48,1.0,0.9772727489471436,0.8439391851425171,0.861445963382721,0.9393939393939394,0.9606060606060607,0.0,0.0,0,0.025997987017035484,0.07333041690289968,False
train,train\Subject.10__Fall_backwards__ba208b73__w000144_000191.npz,Subject.10__Fall_backwards__ba208b73__w000144_000191,Subject.10/Fall backwards,Subject.10__Fall_backwards__ba208b73,1,144,191,23.0,48,1.0,0.9696969985961914,0.8255694508552551,0.8486204147338867,0.9393939393939394,0.9606060606060607,0.0,0.0,0,0.024971405044198036,0.05594859700649975,False
