family,video_id,src,true_label,pred_label,match,event_count,max_p_fall,mean_p_fall,first_event_start_s,n_windows
ctr_gcn_c2_bbox_bone,corridor__corridor_back_1,/Users/ruzhan/fall_test/corridor/corridor_back_1.mp4,1,0,0,0,0.1267387568950653,0.03523610159754753,,26
ctr_gcn_c2_bbox_bone,corridor__corridor_back_2,/Users/ruzhan/fall_test/corridor/corridor_back_2.mp4,1,1,1,1,0.9997127056121826,0.45846042037010193,14.366666793823242,30
ctr_gcn_c2_bbox_bone,corridor__corridor_front_1,/Users/ruzhan/fall_test/corridor/corridor_front_1.mp4,1,1,1,1,0.7602161169052124,0.10740510374307632,2.366666555404663,26
ctr_gcn_c2_bbox_bone,corridor__corridor_front_2,/Users/ruzhan/fall_test/corridor/corridor_front_2.mp4,1,1,1,1,0.999721348285675,0.43690356612205505,12.766666412353516,25
ctr_gcn_c2_bbox_bone,corridor__corridor_side_1,/Users/ruzhan/fall_test/corridor/corridor_side_1.mp4,1,1,1,1,0.7044683694839478,0.18378911912441254,2.366666555404663,30
ctr_gcn_c2_bbox_bone,corridor__corridor_side_2,/Users/ruzhan/fall_test/corridor/corridor_side_2.mp4,1,1,1,1,0.9996148943901062,0.3805578052997589,14.366666793823242,26
ctr_gcn_c2_bbox_bone,corridor_adl__corridor_bend_1,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_1.mp4,0,0,1,0,0.03544500470161438,0.013619554229080677,,17
ctr_gcn_c2_bbox_bone,corridor_adl__corridor_bend_2,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_2.mp4,0,0,1,0,0.020160747691988945,0.007929040119051933,,15
ctr_gcn_c2_bbox_bone,corridor_adl__corridor_squat_1,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_1.mp4,0,0,1,0,0.07528292387723923,0.021312100812792778,,24
ctr_gcn_c2_bbox_bone,corridor_adl__corridor_squat_2,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_2.mp4,0,1,0,1,0.9956572651863098,0.21251563727855682,15.166666984558105,24
